"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"B3GALT1",1,120.1,0.06897,338.8,0.01379,344.8,0.1,131.9,0.3069
"B3GALT2",1,135.6,0,259.8,0.8069,321.9,0.23448,135,0.25517
"B3GALT3",1,107.3,0.63448,225.3,0.99655,434.4,0.01034,142.4,0.11034
"B3GALT4",1,123.5,0.02069,530.8,0,2950.3,0,507.7,0
"B3GALT5",3,106.5,0.677013333333333,272.966666666667,0.562073333333333,1599.2,0.0505733333333333,159.466666666667,0.313793333333333
"B3GALT6",1,1167.5,0,8410.4,0,7744.9,0,2703.6,0
"B3GALTL",1,1457.4,0,8130,0,10615.3,0,3765.6,0
"B3GAT1",3,109.233333333333,0.51609,606.5,0.22184,293.233333333333,0.641383333333333,141.7,0.221836666666667
"B3GAT2",1,104.1,0.79655,269.8,0.5931,307.4,0.37931,116.4,0.82414
"B3GAT3",1,321.3,0,3682.5,0,10272.7,0,1077.1,0
"B3Gn-T6",1,137.4,0,304.1,0.12414,311,0.34138,134.9,0.25862
"B3GNT1",1,357.7,0,1331.6,0,1574.8,0,803,0
"B3GNT2",1,963.6,0,11663.6,0,10743.1,0,948.4,0
"B3GNT3",1,132,0,299.7,0.15862,919.1,0,175,0.00345
"B3GNT4",1,112,0.34828,557.8,0,378,0.01724,145.7,0.06897
"B3GNT5",1,136.6,0,558.6,0,1171.1,0,198.2,0.00345
"B3GNT6",1,1461.4,0,14082.3,0,16919.5,0,4214.4,0
"B3GNT7",1,115.6,0.17241,269.9,0.58621,989.9,0,363.8,0
"B3GNT8",1,112.1,0.34483,321.1,0.02414,326.6,0.20345,111.4,0.94828
"B3GNT9",1,193,0,1142.2,0,2839,0,397.8,0
"B3GNTL1",1,111.4,0.38966,340.2,0.01379,345.8,0.09655,122.9,0.56552
"B4GALNT1",1,302,0,3366.5,0,1710.4,0,180.6,0.00345
