ID_REF	MiaPACA2_EV	MiaPACA2_EV.Detection_Pval	MiaPACA2_ARHGEF10	MiaPACA2_ARHGEF10.Detection_Pval	Hs766T_shGFP	Hs766T_shGFP.Detection_Pval	Hs766T_shARHGEF10	Hs766T_shARHGEF10.Detection_Pval	
ILMN_1689874	420.8	0	6559.3	0	12661.2	0	927.6	0	
ILMN_2405642	269.8	0	10122.5	0	20494.3	0	779.1	0	
ILMN_1731891	433	0	6276.7	0	10877.7	0	2564.5	0	
ILMN_1775240	124.6	0.02069	545.4	0	478.8	0.0069	141.6	0.12069	
ILMN_1668242	117.8	0.11034	323.4	0.02069	6698.8	0	1194	0	
ILMN_1777260	130.2	0.00345	524.9	0	1846.2	0	495	0	
ILMN_1670769	135.7	0	10482.8	0	6290.1	0	141.6	0.12069	
ILMN_1798037	112.5	0.30345	335.7	0.01379	292.1	0.64138	133.1	0.28621	
ILMN_1793841	109.6	0.49655	294.5	0.1931	295.6	0.5931	112.8	0.93793	
ILMN_1697777	247.6	0	5888	0	20119.1	0	1828.6	0	
ILMN_1761829	113.9	0.23103	1168.8	0	2057.2	0	166.2	0.01379	
ILMN_1741157	113.8	0.23448	289.4	0.27241	283.5	0.78276	129.1	0.34828	
ILMN_1682034	116.1	0.15517	637.4	0	2163.3	0	135.2	0.24828	
ILMN_1766983	329.3	0	2663.6	0	1851.1	0	343.7	0	
ILMN_1659544	142.6	0	2322.5	0	5436.2	0	206.9	0	
ILMN_2405991	261.8	0	4771.5	0	10527.5	0	1513.8	0	
ILMN_1697629	969.6	0	10706.4	0	11200.2	0	1434.3	0	
ILMN_1811098	106.7	0.68621	288.3	0.28966	281.2	0.8069	123.5	0.55172	
ILMN_1734176	112.9	0.28966	287.2	0.3	355.8	0.04483	124.4	0.50345	
ILMN_1651936	274.2	0	1268.4	0	2016.3	0	383	0	
ILMN_2222786	672.3	0	6418.6	0	5783.9	0	798.9	0	
ILMN_1656940	130.7	0.00345	441	0	3738.7	0	245.6	0	
ILMN_1765060	1191.4	0	13347.2	0	11583.7	0	733	0	
ILMN_1791792	654.5	0	16249.3	0	13947.5	0	457.9	0	
ILMN_1670134	709.2	0	15454.6	0	22339.8	0	2206.5	0	
ILMN_1714393	1283.7	0	5265.2	0	6882.9	0	3046.2	0	
ILMN_1718395	108.8	0.53448	252.4	0.92069	331.5	0.16552	131.1	0.32069	
ILMN_3247625	108.1	0.58621	400.4	0.00345	466	0.01034	138.6	0.17241	
ILMN_2075962	106.1	0.71379	281.8	0.36207	323.2	0.22069	122.6	0.58276	
ILMN_3308395	107.4	0.63103	268.2	0.61034	303	0.46552	133.4	0.28276	
ILMN_2166696	121.1	0.04828	283.1	0.34138	384.2	0.01379	121.9	0.60345	
ILMN_3244646	1770.1	0	15180.1	0	15135.9	0	2335.2	0	
ILMN_3308565	107.9	0.60345	219.9	0.99655	310.7	0.35172	126.3	0.45172	
ILMN_1812915	1653.1	0	10287.5	0	9877.4	0	2744.8	0	
ILMN_3310715	110.4	0.45172	260.1	0.8069	306.3	0.4	100.4	0.9931	
ILMN_1690136	2632.3	0	12205	0	14547	0	3481.7	0	
ILMN_2161910	107.9	0.60345	298.1	0.16897	289.8	0.68276	132.4	0.29655	
ILMN_2389528	513.3	0	3229.1	0	417.1	0.01034	157.8	0.01724	
ILMN_1659645	106.2	0.71379	266.8	0.63793	283	0.78276	135	0.25172	
ILMN_2341690	224.7	0	7185.6	0	7786.8	0	352.7	0	
ILMN_2402936	1407.2	0	16056.2	0	15254.4	0	1298.6	0	
ILMN_1773849	211.3	0	3017.1	0	7685.2	0	482.2	0	
ILMN_1677636	156.2	0	257.2	0.85517	316.7	0.27931	136.5	0.21724	
ILMN_2385688	342.3	0	4239.6	0	6160.4	0	885.2	0	
ILMN_2059357	112.4	0.31724	264	0.68966	625.9	0	128.8	0.35862	
ILMN_1778255	671	0	6644.7	0	9430.9	0	2543.3	0	
ILMN_2226628	188.5	0	8892.2	0	6711.2	0	194.5	0.00345	
ILMN_3235279	109.5	0.5	316	0.06207	319.9	0.25172	123.4	0.55172	
ILMN_1745798	278.4	0	7359.1	0	9527.3	0	326.5	0	
ILMN_1756424	139.2	0	1236	0	1006.6	0	169.4	0.01379	
ILMN_1708502	3875.3	0	13718.8	0	13694.8	0	3636.6	0	
ILMN_1715789	4102.7	0	17402.4	0	14228.9	0	4323.3	0	
ILMN_2363880	103.9	0.8069	261.4	0.77241	316	0.28966	123.3	0.55517	
ILMN_3242633	116	0.15862	275.2	0.50345	337.4	0.12759	133	0.28966	
ILMN_2355549	334.2	0	9344.8	0	6719.9	0	352.8	0	
ILMN_1815107	14514.6	0	28944.5	0	30965.4	0	15367.5	0	
ILMN_3237774	145.8	0	2127.1	0	3724.8	0	178.4	0.00345	
ILMN_3308250	101.6	0.8931	310.9	0.07931	257.4	0.98621	113.9	0.92759	
ILMN_1676086	106.1	0.72069	252.4	0.91724	282.4	0.78276	104.9	0.98966	
ILMN_2341952	4806.8	0	11378.4	0	9601.2	0	4453.2	0	
