"","GENE_SYMBOL","UL_mean","nonUL_mean","DE_UL","Magnitude","FoldChange_UL"
"MT1E","MT1E",997.990714285714,1474.12254901961,-476.131834733894,476.131834733894,0.677006613154004
"KANK1","KANK1",1705.17761904762,1229.24281045752,475.934808590103,475.934808590103,1.38717721555187
"MEIS1","MEIS1",1692.34071428571,1217.07254901961,475.268165266107,475.268165266107,1.39050109679077
"TAX1BP1","TAX1BP1",1460.05095238095,1934.47450980392,-474.423557422969,474.423557422969,0.754753265024382
"RBP1","RBP1",283.031428571429,757.008823529412,-473.977394957983,473.977394957983,0.373881280870476
"MIF","MIF",3753.13571428571,3281.25882352941,471.876890756302,471.876890756302,1.14380971332482
"PPP1R12B","PPP1R12B",3552.47714285714,3081.63333333333,470.84380952381,470.84380952381,1.15279034154739
"PLAT","PLAT",465.497142857143,935.145098039216,-469.647955182073,469.647955182073,0.49778065867338
"CYBRD1","CYBRD1",865.039285714286,1334.27352941176,-469.234243697479,469.234243697479,0.648322301721488
"HMGN3","HMGN3",1749.93714285714,1280.76862745098,469.168515406162,469.168515406162,1.36631793233405
"RPL14","RPL14",5699.22523809524,6166.03333333333,-466.808095238095,466.808095238095,0.92429361471101
"HINT1","HINT1",2837.51423809524,3303.61163398693,-466.09739589169,466.09739589169,0.858912775613039
"EIF3L","EIF3L",4724.50571428571,4259.66274509804,464.842969187674,464.842969187674,1.10912670720765
"ICAM2","ICAM2",239.203571428571,703.829411764706,-464.625840336135,464.625840336135,0.33986015280154
"KLF6","KLF6",552.13180952381,1016.44379084967,-464.311981325864,464.311981325864,0.543199549738279
"MAT2A","MAT2A",1089.41785714286,1553.34803921569,-463.930182072829,463.930182072829,0.701335328361392
"PRSS23","PRSS23",1564.17797619048,1101.08022875817,463.097747432306,463.097747432306,1.42058492681737
"BMP8B","BMP8B",453.426666666667,916.23366013072,-462.806993464052,462.806993464052,0.494881040063488
"RPS10","RPS10",10096.9554081633,9635.72485994398,461.230548219286,461.230548219286,1.04786672045158
"PRDX1","PRDX1",3367.41571428571,2906.37058823529,461.04512605042,461.04512605042,1.15863260105806
"MFAP5","MFAP5",4335.50047619048,3875.76732026144,459.733155929039,459.733155929039,1.11861732605197
"TGFBR2","TGFBR2",737.966428571429,1197.10196078431,-459.135532212885,459.135532212885,0.616460796779526
"MVP","MVP",617.955714285714,1076.2431372549,-458.287422969188,458.287422969188,0.574178540977173
"LBX1","LBX1",1144.58357142857,1602.61470588235,-458.031134453781,458.031134453781,0.714197596732022
"IGFBP6","IGFBP6",291.375714285714,746.558823529412,-455.183109243697,455.183109243697,0.390291702545573
"PNRC1","PNRC1",1275.30857142857,1729.10196078431,-453.793389355742,453.793389355742,0.737555448060505
"RPL41","RPL41",16961.5957142857,17413.8764705882,-452.28075630252,452.28075630252,0.97402756605823
"KCNG1","KCNG1",936.097857142857,487.804901960784,448.292955182073,448.292955182073,1.91900051307421
"PMEPA1","PMEPA1",1203.63761904762,755.853594771242,447.784024276377,447.784024276377,1.59242163743615
"ATP2B4","ATP2B4",2732.44119047619,2284.7137254902,447.727464985994,447.727464985994,1.19596654932772
"ANO1","ANO1",619.963571428571,177.142810457516,442.820760971055,442.820760971055,3.49979527719674
"THY1","THY1",878.708571428572,1321.3614379085,-442.652866479925,442.652866479925,0.665002433262639
"SPON1","SPON1",515.3715,956.05362745098,-440.68212745098,440.68212745098,0.539061288197899
"HIST1H3C","HIST1H3C",242.704285714286,679.862745098039,-437.158459383754,437.158459383754,0.356990124057007
"APOD","APOD",512.662857142857,949.790196078431,-437.127338935574,437.127338935574,0.539764317698351
"TMEM158","TMEM158",2199.135,2634.24901960784,-435.114019607843,435.114019607843,0.834824264384612
"DLC1","DLC1",203.672380952381,636.179738562092,-432.507357609711,432.507357609711,0.320149116054412
"CA12","CA12",669.78112244898,241.29243697479,428.48868547419,428.48868547419,2.77580653105575
"HEPH","HEPH",943.089285714286,514.772549019608,428.316736694678,428.316736694678,1.8320504609471
"COX6B1","COX6B1",2007.30714285714,1579.46078431373,427.846358543417,427.846358543417,1.27088127973327
"IARS","IARS",1436.08,1009.96666666667,426.113333333333,426.113333333333,1.42190831380573
"IGLL5","IGLL5",247.257142857143,670.562745098039,-423.305602240896,423.305602240896,0.368730808063298
"RHOC","RHOC",1407.05285714286,1829.78725490196,-422.734397759104,422.734397759104,0.768970738742111
"WDR1","WDR1",1004.97528571429,1426.99117647059,-422.015890756302,422.015890756302,0.704261737763452
"ARL6IP5","ARL6IP5",1247.29428571429,1668.87254901961,-421.578263305322,421.578263305322,0.747387382246188
"BCL6","BCL6",243.626666666667,664.111764705882,-420.485098039216,420.485098039216,0.366845882898284
"FOSB","FOSB",122.017142857143,542.286274509804,-420.269131652661,420.269131652661,0.225005036255877
"PPIA","PPIA",4409.27785714286,4828.92100840336,-419.643151260506,419.643151260506,0.91309794661577
"CSTB","CSTB",707.35,1125.88823529412,-418.538235294118,418.538235294118,0.628259517975349
