"GENE_SYMBOL","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr"
"RGN",35.9828571428571,117.086274509804,5.49500333333333,5.76902,3.3128,2.821748,119.533333333333,192.8,-359.233333333333,2.61293920803123,0.2598722615205
"RGR",15.3859523809524,14.2395424836601,7.40476666666667,7.59835333333333,3.587,3.679091,116.35,177.5,-169.6,2.52556940266438,0.448544952040319
"RGS1",70.68,122.574509803922,4.59178666666667,4.77907333333333,2.8053,2.821748,411.4,-16.8,-205.5,0.959163830821585,0.45403825717322
"RGS10",1127.90333333333,761.550980392157,7.49400666666667,7.43478,13.0264,13.149575,211.6,1921.96666666667,-1813.13333333333,10.083018273472,0.17483578330982
"RGS11",31.5707142857143,27.5372549019608,6.90335,6.94912666666667,4.4696,4.262949,111.85,182.4,-207.8,2.63075547608404,0.406031156209804
"RGS12",46.3069761904762,63.4111437908497,7.86346333333333,7.98910666666667,4.0222,4.300218,323.733333333333,1785.83333333333,-5341.66666666667,6.51637149917628,0.337081254602166
"RGS13",10.3904761904762,19.3117647058824,5.28391333333333,5.19540333333333,1.1472,1.780831,110.45,175,-176.75,2.584427342689,0.419635527827943
"RGS14",27.265,23.666339869281,8.07003,8.09886666666667,5.0628,4.553233,161.7,345.9,-457.6,3.139146567718,0.292298175069595
"RGS16",49.6140476190476,125.174183006536,10.6352333333333,9.74793333333333,4.7225,4.797867,269.2,2967.3,-1775.9,12.0226597325409,0.144639244774107
"RGS17",28.0914285714286,24.2274509803922,8.97552,8.33951,5.4514,5.456789,142.4,302.4,-461,3.12359550561798,0.223120997640715
"RGS19",94.6428571428571,92.8666666666667,9.21059,9.34450666666667,8.2448,8.064578,309.8,3403.1,-3955.9,11.9848289218851,0.147986215808744
"RGS2",2735.51,5149.96470588235,9.65968,9.15131,8.7482,8.737525,500.8,3327.6,-8409.4,7.64456869009585,0.166189083337465
"RGS20",15.1407142857143,11.1107843137255,6.78247333333333,6.58056,8.5404,8.442554,549.7,4066.05,-2336.9,8.39685282881572,0.192069007242995
"RGS3",190.365,205.291176470588,7.60082666666667,7.55570666666667,3.6411,3.534091,119.516666666667,350.583333333333,-255.333333333333,3.93334263003765,0.338999870561332
"RGS5",1149.34785714286,970.985947712418,6.02304666666667,5.97744,4.3944,4.374102,5223.95,13582.75,-2971.35,3.60009188449353,0.191425383694351
"RGS6",6.41333333333334,9.06143790849673,6.29919666666667,6.72805,3.3886,3.400504,122.7,176.4,-187.6,2.43765281173594,0.405199746353836
"RGS7",14.1278571428571,11.3411764705882,6.00402,6.02952333333333,3.8075,4.143966,109.4,141.3,-829.5,2.29159049360146,0.127943650126156
"RGSL1",18.6485714285714,20.0627450980392,4.73417333333333,4.77694666666667,3.3128,2.975039,107.2,225.3,-216.6,3.10167910447761,0.377049180327869
"RHAG",16.572380952381,18.3607843137255,5.40562,5.59585666666667,3.1484,2.975039,136.3,1895,-228.1,14.9031548055759,0.37214423341591
"RHBDD3",99.0928571428571,87.1598039215686,8.33869,8.35353333333333,8.7959,8.704597,522.1,3616.4,-9435.1,7.92664240566941,0.259434554645066
"RHBDF1",149.050714285714,195.936274509804,9.19311666666667,9.2478,8.8297,9.271735,3084.6,9757.9,-16152.1,4.16342475523569,0.410279159090743
"RHBDF2",76.3214285714286,63.9294117647059,6.91972333333333,7.01322333333333,10.6207,10.802358,213.25,4866.05,-4333.025,23.8185228604924,0.0662489629238544
